Unnamed: 0,Role,JobTitle,Company,SalaryRange,Location,ExperienceLevel,RemoteOption,JobType,Link,City,State,RequiredSkills,PostedDate,Applications,SavedCount,ViewCount
194,UI/UX Designer,UI/UX Designer,Apple,$80k-$100k,"Austin, TX",Mid,Yes,Internship,https://jobs.apple.com/ml-engineer,Austin,TX,"MLflow, Model Deployment, PyTorch, Python, Scikit-learn, TensorFlow",2025-04-18 21:54:06.323530,405,258,779
935,Frontend Developer,Frontend Developer,Apple,$120k-$140k,"Salt Lake City, UT",Mid,Hybrid,Full-time,https://jobs.apple.com/ml-engineer,Salt Lake City,UT,"MLflow, Model Deployment, PyTorch, Python, Scikit-learn, TensorFlow",2025-04-13 21:54:06.323530,152,259,301
920,Product Manager,Product Manager,Apple,$100k-$120k,"Phoenix, AZ",Entry,Hybrid,Contract,https://jobs.apple.com/ml-engineer,Phoenix,AZ,"MLflow, Model Deployment, PyTorch, Python, Scikit-learn, TensorFlow",2025-03-26 21:54:06.323530,459,267,790
476,Site Reliability Engineer,Site Reliability Engineer,Apple,$120k-$140k,"Boston, MA",Mid,Hybrid,Internship,https://jobs.apple.com/ml-engineer,Boston,MA,"MLflow, Model Deployment, PyTorch, Python, Scikit-learn, TensorFlow",2025-04-18 21:54:06.323530,415,269,696
37,Backend Developer,Backend Developer,Apple,$80k-$100k,"Phoenix, AZ",Mid,Hybrid,Full-time,https://jobs.apple.com/ml-engineer,Phoenix,AZ,"MLflow, Model Deployment, PyTorch, Python, Scikit-learn, TensorFlow",2025-04-04 21:54:06.323530,433,141,691
195,QA Engineer,QA Engineer,Meta,$80k-$100k,"Raleigh, NC",Mid,No,Internship,https://meta.com/careers/react-dev,Raleigh,NC,"CSS, HTML, JavaScript, React, Redux, TypeScript",2025-04-07 21:54:06.323530,451,49,824
944,UI/UX Designer,UI/UX Designer,Meta,$140k-$160k,"Denver, CO",Entry,Hybrid,Internship,https://meta.com/careers/react-dev,Denver,CO,"CSS, HTML, JavaScript, React, Redux, TypeScript",2025-04-15 21:54:06.323530,284,171,616
441,Blockchain Developer,Blockchain Developer,Meta,$100k-$120k,"Salt Lake City, UT",Mid,Hybrid,Internship,https://meta.com/careers/react-dev,Salt Lake City,UT,"CSS, HTML, JavaScript, React, Redux, TypeScript",2025-04-19 21:54:06.323530,92,159,202
1,Backend Developer,Backend Developer,Meta,$100k-$120k,"Boston, MA",Senior,Yes,Full-time,https://meta.com/careers/react-dev,Boston,MA,"CSS, HTML, JavaScript, React, Redux, TypeScript",2025-04-04 21:54:06.323530,478,151,775
666,Data Engineer,Data Engineer,Meta,$140k-$160k,"New York, NY",Mid,Hybrid,Internship,https://meta.com/careers/react-dev,New York,NY,"CSS, HTML, JavaScript, React, Redux, TypeScript",2025-04-01 21:54:06.323530,281,240,718
293,Business Analyst,Business Analyst,NVIDIA,$100k-$120k,"Palo Alto, CA",Senior,No,Contract,https://nvidia.com/careers/ai-engineer,Palo Alto,CA,"Computer Vision, Deep Learning, NLP, Neural Networks, Python, TensorFlow",2025-04-15 21:54:06.323530,90,118,358
334,Product Manager,Product Manager,NVIDIA,$80k-$100k,"New York, NY",Mid,Hybrid,Contract,https://nvidia.com/careers/ai-engineer,New York,NY,"Computer Vision, Deep Learning, NLP, Neural Networks, Python, TensorFlow",2025-04-10 21:54:06.323530,136,143,484
815,Machine Learning Engineer,Machine Learning Engineer,NVIDIA,$120k-$140k,"Palo Alto, CA",Entry,No,Full-time,https://nvidia.com/careers/ai-engineer,Palo Alto,CA,"Computer Vision, Deep Learning, NLP, Neural Networks, Python, TensorFlow",2025-03-29 21:54:06.323530,59,22,219
271,Data Engineer,Data Engineer,NVIDIA,$100k-$120k,"Boston, MA",Senior,No,Full-time,https://nvidia.com/careers/ai-engineer,Boston,MA,"Computer Vision, Deep Learning, NLP, Neural Networks, Python, TensorFlow",2025-04-08 21:54:06.323530,381,95,680
